any;àmbit territorial de planificació;branques d'activitat;concepte;estat;valor
2015;Camp de Tarragona;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1383,4
2015;Camp de Tarragona;transport, informació i comunicacions;valor afegit brut (milions €);;902,9
2015;Camp de Tarragona;hostaleria;valor afegit brut (milions €);;942,5
2015;Camp de Tarragona;activitats financeres i d'assegurances;valor afegit brut (milions €);;304,9
2015;Camp de Tarragona;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;2138,8
2015;Camp de Tarragona;administració pública i altres serveis;valor afegit brut (milions €);;2846,4
2015;Camp de Tarragona;total;valor afegit brut (milions €);;8518,8
2015;Terres de l'Ebre;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;446,6
2015;Terres de l'Ebre;transport, informació i comunicacions;valor afegit brut (milions €);;165,9
2015;Terres de l'Ebre;hostaleria;valor afegit brut (milions €);;177,7
2015;Terres de l'Ebre;activitats financeres i d'assegurances;valor afegit brut (milions €);;95,4
2015;Terres de l'Ebre;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;487,9
2015;Terres de l'Ebre;administració pública i altres serveis;valor afegit brut (milions €);;733,5
2015;Terres de l'Ebre;total;valor afegit brut (milions €);;2107,1
2015;Ponent;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1205,9
2015;Ponent;transport, informació i comunicacions;valor afegit brut (milions €);;538,6
2015;Ponent;hostaleria;valor afegit brut (milions €);;310,9
2015;Ponent;activitats financeres i d'assegurances;valor afegit brut (milions €);;211,6
2015;Ponent;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1056
2015;Ponent;administració pública i altres serveis;valor afegit brut (milions €);;1952,5
2015;Ponent;total;valor afegit brut (milions €);;5275,6
2015;Comarques Centrals;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1212,8
2015;Comarques Centrals;transport, informació i comunicacions;valor afegit brut (milions €);;427
2015;Comarques Centrals;hostaleria;valor afegit brut (milions €);;349,5
2015;Comarques Centrals;activitats financeres i d'assegurances;valor afegit brut (milions €);;221,3
2015;Comarques Centrals;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1660,5
2015;Comarques Centrals;administració pública i altres serveis;valor afegit brut (milions €);;1605,2
2015;Comarques Centrals;total;valor afegit brut (milions €);;5476,3
2015;Alt Pirineu i Aran;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;173,1
2015;Alt Pirineu i Aran;transport, informació i comunicacions;valor afegit brut (milions €);;66,4
2015;Alt Pirineu i Aran;hostaleria;valor afegit brut (milions €);;240,7
2015;Alt Pirineu i Aran;activitats financeres i d'assegurances;valor afegit brut (milions €);;31,5
2015;Alt Pirineu i Aran;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;245,8
2015;Alt Pirineu i Aran;administració pública i altres serveis;valor afegit brut (milions €);;387,3
2015;Alt Pirineu i Aran;total;valor afegit brut (milions €);;1144,7
2015;Penedès;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1083,9
2015;Penedès;transport, informació i comunicacions;valor afegit brut (milions €);;411
2015;Penedès;hostaleria;valor afegit brut (milions €);;539,6
2015;Penedès;activitats financeres i d'assegurances;valor afegit brut (milions €);;249,8
2015;Penedès;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1877
2015;Penedès;administració pública i altres serveis;valor afegit brut (milions €);;1518,9
2015;Penedès;total;valor afegit brut (milions €);;5680,2
2015;Catalunya;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;27623,6
2015;Catalunya;transport, informació i comunicacions;valor afegit brut (milions €);;16484,2
2015;Catalunya;hostaleria;valor afegit brut (milions €);;12131,3
2015;Catalunya;activitats financeres i d'assegurances;valor afegit brut (milions €);;6940,7
2015;Catalunya;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;42895,5
2015;Catalunya;administració pública i altres serveis;valor afegit brut (milions €);;39888
2015;Catalunya;total;valor afegit brut (milions €);;145963,2
