"Any","Codi comarca","Comarca","Població","Domèstic xarxa","Activitats econòmiques i fonts pròpies","Total","Consum domèstic per càpita"
"2020","35","SOLSONÈS, EL","13.513","569.634","652.031","1.221.665","115,49"
"2020","36","TARRAGONÈS, EL","261.466","13.389.748","39.046.280","52.436.028","140,3"
"2020","37","TERRA ALTA","11.430","406.509","171.624","578.133","97,44"
"2020","38","URGELL, L'","37.116","1.580.925","1.083.843","2.664.768","116,7"
"2020","39","VAL D'ARAN, LA","10.175","1.404.434","1.047.640","2.452.074","378,16"
"2020","40","VALLÈS OCCIDENTAL, EL","937.508","39.046.670","20.716.508","59.763.178","114,11"
"2020","41","VALLÈS ORIENTAL, EL","414.570","17.721.156","12.327.372","30.048.528","117,11"
"2020","42","Moianès","13.919","658.508","553.520","1.212.028","129,62"
"2019","1","ALT CAMP, L'","44.296","1.655.537","3.028.257","4.683.794","102,4"
"2019","2","ALT EMPORDÀ, L'","141.339","8.391.792","4.771.602","13.163.394","162,67"
"2019","3","ALT PENEDÈS, L'","108.411","4.296.388","2.914.930","7.211.318","108,58"
"2019","4","ALT URGELL, L'","20.177","972.254","1.452.242","2.424.496","132,02"
"2019","5","ALTA RIBAGORÇA, L'","3.802","489.029","202.942","691.971","352,39"
"2019","6","ANOIA, L'","120.738","4.996.187","6.271.896","11.268.083","113,37"
"2019","7","BAGES, EL","178.885","7.213.340","7.105.346","14.318.686","110,48"
"2019","8","BAIX CAMP, EL","190.973","9.581.608","6.032.268","15.613.876","137,46"
"2019","9","BAIX EBRE, EL","77.596","3.421.105","4.488.740","7.909.845","120,79"
"2019","10","BAIX EMPORDÀ, EL","134.359","10.562.167","6.305.271","16.867.438","215,37"
"2019","11","BAIX LLOBREGAT, EL","825.963","32.332.690","25.263.950","57.596.640","107,25"
"2019","12","BAIX PENEDÈS, EL","104.991","6.395.692","2.290.546","8.686.238","166,89"
"2019","13","BARCELONÈS, EL","2.278.437","86.987.695","41.704.636","128.692.331","104,6"
"2019","14","BERGUEDÀ, EL","39.446","1.389.347","904.665","2.294.012","96,5"
"2019","15","CERDANYA, LA","18.192","1.432.411","2.100.446","3.532.857","215,72"
"2019","16","CONCA DE BARBERÀ, LA","20.042","739.076","627.320","1.366.396","101,03"
"2019","17","GARRAF, EL","150.887","7.468.438","2.772.171","10.240.609","135,61"
"2019","18","GARRIGUES, LES","18.833","717.759","774.444","1.492.203","104,42"
"2019","19","GARROTXA, LA","57.590","2.370.404","4.045.001","6.415.405","112,77"
"2019","20","GIRONÈS, EL","193.908","7.377.732","10.334.108","17.711.840","104,24"
"2019","21","MARESME, EL","452.690","20.732.267","9.563.185","30.295.452","125,47"
"2019","22","MONTSIÀ, EL","67.436","2.764.996","2.005.323","4.770.319","112,33"
"2019","23","NOGUERA, LA","38.770","1.713.459","1.702.308","3.415.767","121,08"
"2019","24","OSONA","160.821","6.259.962","8.657.380","14.917.342","106,64"
"2019","25","PALLARS JUSSÀ, EL","13.080","799.413","311.119","1.110.532","167,44"
"2019","26","PALLARS SOBIRÀ, EL","6.932","564.191","584.129","1.148.320","222,98"
"2019","27","PLA D'URGELL, EL","36.693","1.629.247","4.523.152","6.152.399","121,65"
"2019","28","PLA DE L'ESTANY, EL","32.293","1.374.736","1.430.923","2.805.659","116,63"
"2019","29","PRIORAT, EL","9.245","337.421","132.262","469.683","99,99"
"2019","30","RIBERA D'EBRE, LA","21.865","947.642","3.457.939","4.405.581","118,74"
"2019","31","RIPOLLÈS, EL","25.087","1.077.632","1.458.292","2.535.924","117,69"
"2019","32","SEGARRA, LA","23.052","829.654","2.295.241","3.124.895","98,6"
"2019","33","SEGRIÀ, EL","209.818","9.379.184","7.903.289","17.282.473","122,47"
"2019","34","SELVA, LA","171.617","8.860.789","10.192.204","19.052.993","141,46"
"2019","35","SOLSONÈS, EL","13.469","570.274","571.207","1.141.481","116"
"2019","36","TARRAGONÈS, EL","256.730","12.983.069","44.208.846","57.191.915","138,55"
"2019","37","TERRA ALTA","11.490","404.546","264.548","669.094","96,46"
"2019","38","URGELL, L'","36.693","1.453.491","1.169.112","2.622.603","108,53"
"2019","39","VAL D'ARAN, LA","10.093","1.392.780","1.177.299","2.570.079","378,07"
"2019","40","VALLÈS OCCIDENTAL, EL","925.237","36.467.861","24.083.867","60.551.728","107,99"
"2019","41","VALLÈS ORIENTAL, EL","409.638","16.648.383","13.516.403","30.164.786","111,35"
"2019","42","Moianès","13.603","622.573","582.437","1.205.010","125,39"
"2018","1","ALT CAMP, L'","44.065","1.641.853","2.890.538","4.532.391","102,08"
"2018","2","ALT EMPORDÀ, L'","140.569","8.160.164","4.663.173","12.823.337","159,04"
"2018","3","ALT PENEDÈS, L'","108.122","4.177.903","3.068.538","7.246.441","105,86"
"2018","4","ALT URGELL, L'","20.224","922.281","1.389.153","2.311.434","124,94"
"2018","5","ALTA RIBAGORÇA, L'","3.774","493.426","154.114","647.540","358,2"
"2018","6","ANOIA, L'","119.089","4.731.908","6.240.631","10.972.539","108,86"
"2018","7","BAGES, EL","176.485","6.995.011","7.221.037","14.216.048","108,59"
"2018","8","BAIX CAMP, EL","188.841","9.616.130","6.202.185","15.818.315","139,51"
"2018","9","BAIX EBRE, EL","77.868","3.364.471","4.368.212","7.732.683","118,38"
"2018","10","BAIX EMPORDÀ, EL","133.461","10.086.083","5.859.640","15.945.723","207,05"
"2018","11","BAIX LLOBREGAT, EL","819.168","31.921.843","25.106.252","57.028.095","106,76"
"2018","12","BAIX PENEDÈS, EL","102.409","6.029.014","2.232.000","8.261.014","161,29"
"2018","13","BARCELONÈS, EL","2.254.642","86.957.071","42.937.375","129.894.446","105,67"
"2018","14","BERGUEDÀ, EL","39.104","1.345.471","806.894","2.152.365","94,27"
"2018","15","CERDANYA, LA","17.882","1.378.190","1.698.063","3.076.253","211,15"
"2018","16","CONCA DE BARBERÀ, LA","20.103","740.253","573.841","1.314.094","100,88"
"2018","17","GARRAF, EL","149.103","7.418.408","2.814.563","10.232.971","136,31"
"2018","18","GARRIGUES, LES","18.771","711.204","935.711","1.646.915","103,8"
"2018","19","GARROTXA, LA","56.613","2.260.986","4.005.932","6.266.918","109,42"
"2018","20","GIRONÈS, EL","190.786","7.184.902","10.036.228","17.221.130","103,18"
"2018","21","MARESME, EL","447.824","20.343.948","9.385.652","29.729.600","124,46"
"2018","22","MONTSIÀ, EL","67.083","2.718.691","1.953.754","4.672.445","111,03"
"2018","23","NOGUERA, LA","38.708","1.667.529","1.730.996","3.398.525","118,03"
"2018","24","OSONA","158.334","6.006.017","8.455.751","14.461.768","103,92"
"2018","25","PALLARS JUSSÀ, EL","13.091","788.575","311.938","1.100.513","165,04"
"2018","26","PALLARS SOBIRÀ, EL","6.934","546.098","628.431","1.174.529","215,77"
"2018","27","PLA D'URGELL, EL","36.740","1.607.559","4.529.496","6.137.055","119,88"
"2018","28","PLA DE L'ESTANY, EL","32.006","1.307.741","1.498.435","2.806.176","111,94"
"2018","29","PRIORAT, EL","9.296","335.821","138.386","474.207","98,97"
"2018","30","RIBERA D'EBRE, LA","21.964","950.873","3.419.903","4.370.776","118,61"
"2018","31","RIPOLLÈS, EL","25.000","1.043.999","1.190.031","2.234.030","114,41"
"2018","32","SEGARRA, LA","22.822","817.089","2.598.214","3.415.303","98,09"
"2018","33","SEGRIÀ, EL","208.638","9.200.258","7.704.087","16.904.345","120,81"
"2018","34","SELVA, LA","169.029","8.757.016","10.256.780","19.013.796","141,94"
"2018","35","SOLSONÈS, EL","13.392","564.374","609.870","1.174.244","115,46"
"2018","36","TARRAGONÈS, EL","252.790","12.630.262","41.807.472","54.437.734","136,89"
"2018","37","TERRA ALTA","11.483","407.182","284.672","691.854","97,15"
"2018","38","URGELL, L'","36.243","1.453.506","1.075.228","2.528.734","109,88"
"2018","39","VAL D'ARAN, LA","9.983","1.237.160","996.737","2.233.897","339,53"
"2018","40","VALLÈS OCCIDENTAL, EL","917.905","35.583.820","24.124.484","59.708.304","106,21"
"2018","41","VALLÈS ORIENTAL, EL","406.289","16.129.792","13.253.159","29.382.951","108,77"
"2018","42","Moianès","13.432","581.316","525.638","1.106.954","118,57"
"2017","1","ALT CAMP, L'","43.995","1.663.061","2.853.335","4.516.396","103,56"
"2017","2","ALT EMPORDÀ, L'","139.705","8.217.598","4.815.683","13.033.281","161,15"
"2017","3","ALT PENEDÈS, L'","106.930","4.270.342","3.022.309","7.292.651","109,41"
"2017","4","ALT URGELL, L'","20.296","940.210","1.377.727","2.317.937","126,92"
"2017","5","ALTA RIBAGORÇA, L'","3.827","439.839","200.811","640.650","314,88"
"2017","6","ANOIA, L'","118.277","4.799.172","6.097.025","10.896.197","111,17"
"2017","7","BAGES, EL","175.095","7.211.060","7.639.437","14.850.497","112,83"
"2017","8","BAIX CAMP, EL","187.471","9.496.864","5.714.293","15.211.157","138,79"
"2017","9","BAIX EBRE, EL","78.180","3.428.803","4.152.279","7.581.082","120,16"
"2017","10","BAIX EMPORDÀ, EL","132.906","10.304.393","6.175.542","16.479.935","212,41"
"2017","11","BAIX LLOBREGAT, EL","813.996","31.980.629","25.453.011","57.433.640","107,64"
"2017","12","BAIX PENEDÈS, EL","100.850","6.221.100","2.405.508","8.626.608","169"
"2017","13","BARCELONÈS, EL","2.248.227","85.811.270","42.763.730","128.575.000","104,57"
"2017","14","BERGUEDÀ, EL","39.013","1.364.458","844.502","2.208.960","95,82"
